peopleCd,peopleNm,peopleNmEn,repRoleNm,filmoNames
20238069,강진아,KANG Jin-a,배우,"원더랜드|인생 세탁소|여섯 개의 밤|달이 지는 밤|태어나길 잘했어|아이들은 즐겁다|빛과 철|한강에게|소공녀|범죄의 여왕|카이: 거울 호수의 전설|졸업반|돌연변이|발광하는 현대사|또 하나의 약속|더 테러 라이브|가을이 여름에게|유산|개를 데리고 다니는 여자|프랜시스 베이킹|순영|파란|작년에 봤던 새|젖꼭지|비 내리는 날의 양자강|스네일 맨|산후|소년의 자리|역귀|보이지 않는 잠자는 여인, 뒤집힌 배 그리고 나비|나의 기념일 |원 플러스 원|무더운 날이 없던 것처럼|바캉스|배드신|흔적|서울 137|강변북로에 서 있는 여자|내게 사랑은 너무 써|기기묘묘"
20133889,민지아,MIN Jee-a,배우,원더랜드|내안의 그놈|작은 형
20327921,박연우,PARK Yeon-woo,배우,원더랜드|창애 (짐승잡는 덫)|성난 변호사
20370034,장성윤,,배우,원더랜드|세기말의 사랑|색다른 그녀|69세|침입자
20344740,송덕호,,배우,원더랜드|스프린터|요정|헌트|세이레|액션히어로|낫아웃|유열의 음악앨범|오늘의 초능력|스웰링|연기|미지와의 조우
20224514,장윤정,,배우,원더랜드|내겐 너무 소중한 너|트릭
20387158,아누팜 트리파티,Anupam Tripathi,배우,원더랜드|창혼: 구원의 밤|영원한 유산|밤이 되었습니다|제씨 이야기
20113591,박희본,PARK Hee-bon,배우,"원더랜드|탈출: PROJECT SILENCE|불어라 검풍아|어느날|당신, 거기 있어줄래요|좋아해줘|산다|출중한 여자|썸남썸녀|사이비|렛 미 아웃|미생 프리퀄|비정한 도시 감독판|내 아내의 모든 것|돼지의 왕|세상에서 가장 아름다운 이별|학생 영화|도약선생|그랑프리|베케이션|주리|두근두근 영춘권|가족시네마|할 수 있는 자가 구하라"
10004577,김성령,KIM Sung-ryoung,배우,"원더랜드|부활남|대가족|콜|독전: 익스텐디드 컷|독전|그것만이 내 세상|당신, 거기 있어줄래요|표적|역린|자칼이 온다|아부의 왕|방자전|울학교 이티|숲속의 방|누가 용의 발톱을 보았는가"
20333143,강애심,KANG Ae-sim,배우,원더랜드|오픈 더 도어|리바운드|콘크리트 유토피아|갯벌|수필러브|관계의 가나다에 있는 우리는|욕창|82년생 김지영|다른 길이 있다|4등|비밀애|슈퍼맨이었던 사나이|어머니는 죽지 않는다|올드미스다이어리|두 여자의 방|나들이|딩크족|자매들의 밤|제씨 이야기|우리는 서로에게|엄마와 포포와 나
10056603,이얼,LEE Eol,배우,원더랜드|경관의 피|제8일의 밤|82년생 김지영|인사동 스캔들|고死 : 피의 중간고사|여기보다 어딘가에|무방비도시|화려한 휴가|사생결단|홀리데이|분홍신|레드 아이|사마리아|봄날의 곰을 좋아하세요?|H(에이치)|중독|와이키키 브라더스|축제|49일의 남자|비상구가 없다|짧은 여행의 끝|고 웨스트
10035845,성병숙,SEONG Byeong-suk,배우,원더랜드|소풍|공기살인|스위치|스텔라|정가네 목장(가제)|더 박스|블랙머니|가장 보통의 연애|비밥바룰라|덕구|여배우는 오늘도|엄마
10079524,탕준상,TANG Jun-sang,배우,원더랜드|도그데이즈|설계자|오마주|이상한 나라의 수학자|나랏말싸미|생일|영주|7년의 밤|오빠생각|표류|입하
20174763,최우식,CHOI Wooshik,배우,원더랜드|경관의 피|사냥의 시간|기생충|사자|마녀|물괴|골든슬럼버|옥자|부산행:익스텐디드|그대 이름은 장미|부산행|궁합|호텔룸|빅매치|거인|은밀하게 위대하게
10062071,정유미,JUNG Yu-mi,배우,"원더랜드|잠|82년생 김지영|염력|부산행:익스텐디드|더 테이블|부산행|히말라야|맨홀|우리별 일호와 얼룩소|깡철이|우리 선희|다른나라에서|도가니|조금만 더 가까이|옥희의 영화|내 깡패 같은 애인|카페 느와르|10억|차우|잘 알지도 못하면서|그녀들의 방|오이시맨|좋지 아니한가|가족의 탄생|사랑니|달콤한 인생|산나물 처녀|리스트|겨울의 피아니스트|첩첩산중|가족 같은 개, 개 같은 가족|폴라로이드 작동법|사랑하는 소녀|사이에 두고|연인들|9시 5분"
20191126,박보검,PARK Bo-gum,배우,원더랜드|서복|차이나타운|명량|끝까지 간다|차형사|블라인드|반짝반짝 두근두근
20125828,배수지,BAE Suzy,배우,원더랜드|백두산|리얼|도리화가|건축학개론
10079526,탕웨이,Tang Wei,배우,"원더랜드|헤어질 결심|내부고발자: 도시영웅|지구 최후의 밤|북 오브 러브|사랑: 세 도시 이야기|몬스터 헌트|온리 유|블랙코드|화려상반족: 오피스|황금시대|시절인연|무협|만추 리마스터링|크로싱 헤네시|스피드 엔젤 |색, 계|탕웨이의 투캅스"
20395842,권현우,,배우,청년경찰|춥다|저기요
20394692,김성현,KIM Sung-hyen,배우,누자바르|데어 유니버스
20324192,최현도,,배우,범죄도시4|범죄도시3|인질|대외비|원펀치
20383026,이관민,,배우,범죄도시4|화란|범죄도시2|인생은 아름다워
20316741,배해선,BAE Hae-sun,배우,범죄도시4|정직한 후보2|해피 뉴 이어|삼진그룹 영어토익반|일주일 만에 사랑할 순 없다|결백|엑시트|롱 리브 더 킹: 목포 영웅|로망|사바하|암수살인|너의 결혼식
20196650,김수진,KIM Su-jin,배우,범죄도시4|오픈 더 도어|리바운드|해치지않아|클로젯|생일|성난황소|1987|침묵|싱글라이더|아수라|터널|여교사|나홀로 휴가|대배우|검은 사제들|타워|화차|미소|정글쥬스|와니와 준하|길
20113312,박보경,PARK Bo-kyoung,배우,범죄도시4|화란|퍼펙트맨|악인전|로망|특별시민|아부의 왕|순정만화|심장소리|이제는 말할 수 있다
20384718,권일용,,배우,범죄도시4|비상선언
